date,phrase_id,phrase_en,meaning_ko,video_title,video_file,youtube_video_id,status
2026-09-04,E018,I'm not sure yet.,아직 잘 모르겠어,"""I'm not sure yet."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E018.mp4,guiHyJmS2Oo,published
2026-09-04,E019,Sounds good to me.,나는 좋아,"""Sounds good to me."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E019.mp4,Z9ogHaCW-44,published
2026-09-04,E020,I owe you one.,신세 졌다,"""I owe you one."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-04_E020.mp4,krrKOr6sixk,published
2026-09-05,E021,Let's play it by ear.,상황 봐가면서 하자,"""Let's play it by ear."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-05_E021.mp4,mv-K7qe8cP4,published
2026-09-05,E022,I'm beat.,나 완전 지쳤어,"""I'm beat."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-05_E022.mp4,Dc18GGsrJrg,published
2026-09-05,E023,That's a bummer.,아쉽다 / 안됐다,"""That's a bummer."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-05_E023.mp4,EJqD6Jq-ktU,published
2026-09-06,E024,I'm on the fence.,아직 결정 못 했어,"""I'm on the fence."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-06_E024.mp4,ZXjEXyWdKjs,published
2026-09-06,E025,Let's touch base later.,나중에 다시 이야기하자,"""Let's touch base later."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-06_E025.mp4,3u53eydwlrE,published
2026-09-06,E026,It's not a big deal.,별거 아니야,"""It's not a big deal."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-06_E026.mp4,xuuhUDetlgE,published
2026-09-07,E027,I'm looking forward to it.,기대돼,"""I'm looking forward to it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-07_E027.mp4,t2HBA4M4FBc,published
2026-09-07,E028,Give me a second.,잠깐만 기다려줘,"""Give me a second."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-07_E028.mp4,kMDo0gXqGQA,published
2026-09-07,E029,I can't make it.,나 못 갈 것 같아,"""I can't make it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-07_E029.mp4,JBeaXVJUWEs,published
2026-09-08,E030,That rings a bell.,어디서 들어본 것 같아,"""That rings a bell."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-08_E030.mp4,UEHMeCtwBq0,published
2026-09-08,E031,I'm down for that.,"나 좋아, 콜이야","""I'm down for that."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-08_E031.mp4,Iv5qK6G2F1U,published
2026-09-08,E032,It's out of my hands.,내가 어떻게 할 수 없어,"""It's out of my hands."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-08_E032.mp4,m5iEb4zBbJ0,published
2026-09-09,E033,Let's cut to the chase.,본론만 말하자,"""Let's cut to the chase."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-09_E033.mp4,yRZvuoqppXs,published
2026-09-09,E034,I'm here for you.,내가 곁에 있을게,"""I'm here for you."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-09_E034.mp4,chgi7DV_-DU,published
2026-09-09,E035,That's a stretch.,좀 억지스럽다,"""That's a stretch."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-09_E035.mp4,hPqLtiJfXgQ,published
2026-09-10,E036,I'll take a rain check.,다음 기회에 할게,"""I'll take a rain check."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-10_E036.mp4,PPW_iRJ_xPQ,published
2026-09-10,E037,It's worth a shot.,시도해볼 만해,"""It's worth a shot."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-10_E037.mp4,CcYiE-a9Gzw,published
2026-09-10,E038,I'm stuck.,막혔어 / 모르겠어,"""I'm stuck."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-10_E038.mp4,Mb4y-g8aEXU,published
2026-09-11,E039,Let's wrap it up.,마무리하자,"""Let's wrap it up."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-11_E039.mp4,vAQLmxbe4_o,published
2026-09-11,E040,I mean it.,진심이야,"""I mean it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-11_E040.mp4,-Xy8vY5sQfo,published
2026-09-11,E041,That's the spirit!,바로 그 마음가짐이야!,"""That's the spirit!"" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-11_E041.mp4,Xl7oO1y_4A4,published
2026-09-12,E042,I'm in no rush.,안 급해,"""I'm in no rush."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-12_E042.mp4,Nqz4FJNhdHY,published
2026-09-12,E043,It costs an arm and a leg.,엄청 비싸다,"""It costs an arm and a leg."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-12_E043.mp4,Br9LGYqVVRo,published
2026-09-12,E044,Let's see how it goes.,어떻게 되는지 지켜보자,"""Let's see how it goes."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-12_E044.mp4,0FWYn9mR1s0,published
2026-09-13,E045,I'm counting on you.,너만 믿을게,"""I'm counting on you."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-13_E045.mp4,UUjFBDeU3bg,published
2026-09-13,E046,That's news to me.,처음 듣는 얘기야,"""That's news to me."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-13_E046.mp4,k84fM45mIvI,published
2026-09-13,E047,I'll pass this time.,이번엔 패스할게,"""I'll pass this time."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-13_E047.mp4,F5LXtCaqqAk,published
2026-09-14,E048,Let's keep in touch.,계속 연락하고 지내자,"""Let's keep in touch."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-14_E048.mp4,jMZR37CA8Gc,published
2026-09-14,E049,I'm over the moon.,너무 기뻐,"""I'm over the moon."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-14_E049.mp4,MwPgaA4e1Xo,published
2026-09-14,E050,That's a wrap.,이걸로 끝! (작업 마무리),"""That's a wrap."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-14_E050.mp4,7_nsiXYMKpk,published
2026-09-15,E051,Hang in there.,조금만 참아 / 버텨봐,"""Hang in there."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-15_E051.mp4,XGMHaUJABEI,published
2026-09-15,E052,You've got this!,넌 할 수 있어!,"""You've got this!"" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-15_E052.mp4,rdYk8FqggFo,published
2026-09-15,E053,I'm dying to know.,너무 궁금해,"""I'm dying to know."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-15_E053.mp4,5Mt81jbN3U0,published
2026-09-16,E054,Let's face it.,인정하자 (현실을 받아들이자),"""Let's face it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-16_E054.mp4,zORNnd9x-V0,published
2026-09-16,E055,It's a long story.,이야기하자면 길어,"""It's a long story."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-16_E055.mp4,_Gpz7AlCn3Y,published
2026-09-16,E056,I'll see what I can do.,할 수 있는 데까지 해볼게,"""I'll see what I can do."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-16_E056.mp4,XA-WGUr5SRc,published
2026-09-17,E057,That's more like it.,그래 이게 낫다,"""That's more like it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-17_E057.mp4,qnoBdsRDYfA,published
2026-09-17,E058,I'm not buying it.,안 믿어져 / 못 믿겠어,"""I'm not buying it."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-17_E058.mp4,AimkzC29zD4,published
2026-09-17,E059,Let's grab a bite.,간단히 뭐 좀 먹자,"""Let's grab a bite."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-17_E059.mp4,PGCCNwcM2Iw,published
2026-09-18,E060,I'm easy.,나는 아무거나 괜찮아,"""I'm easy."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-18_E060.mp4,yIlzRnrJp3c,published
2026-09-18,E061,It's not my cup of tea.,내 취향은 아니야,"""It's not my cup of tea."" 무슨 뜻일까? | 매일 영어 한마디",../../../_temp/shorts-output/2026-09-18_E061.mp4,jEQmIGEUVEc,published
