observed_at,channel,video_id,published_at,duration_s,title,views,likes,comments
2026-09-19T23:49:19+00:00,200y3b,8MFb5qEPnT8,2026-08-27T00:55:08Z,27,초대 거절할 때 유용한 표현!,1,0,0
2026-09-19T23:49:19+00:00,200y3b,4PHB9HdRTwo,2026-08-26T21:22:21Z,18,호텔 체크인 필수 표현!,721,1,0
2026-09-19T23:49:19+00:00,200y3b,Nibu08bZiZ8,2026-08-22T09:08:50Z,7,"""Let me get back to you."" 무슨 뜻일까? | 매일 영어 한마디",487,4,0
2026-09-19T23:49:19+00:00,200y3b,wPGr8oL28uI,2026-08-22T06:48:04Z,7,"""Break a leg!"" 무슨 뜻일까? | 매일 영어 한마디",395,9,0
2026-09-19T23:49:19+00:00,200y3b,Eou6FeAXm0A,2026-08-22T01:06:56Z,6,"""I'm all ears."" 무슨 뜻일까? | 매일 영어 한마디",443,10,0
2026-09-19T23:49:19+00:00,200y3b,__PaX30fLQ4,2026-08-21T15:24:13Z,7,"""It's a piece of cake."" 무슨 뜻일까? | 매일 영어 한마디",965,10,0
2026-09-19T23:49:19+00:00,200y3b,Ui16ZsNSqm8,2026-08-21T12:26:24Z,10,"""I'll keep that in mind."" 무슨 뜻일까? | 매일 영어 한마디",522,1,0
2026-09-19T23:49:19+00:00,200y3b,EvMXrJJMfCw,2026-08-21T06:58:39Z,11,"""That makes sense."" 무슨 뜻일까? | 매일 영어 한마디",41,1,0
2026-09-19T23:49:19+00:00,200y3b,VdjzHCAua84,2026-08-21T02:06:54Z,9,"""Long time no see."" 무슨 뜻일까? | 매일 영어 한마디",132,4,0
2026-09-19T23:49:19+00:00,200y3b,3_OUYQo6-28,2026-08-21T02:06:30Z,10,"""It's up to you."" 무슨 뜻일까? | 매일 영어 한마디",1184,10,0
2026-09-19T23:49:19+00:00,200y3b,lCwXV8QcouE,2026-08-21T02:04:13Z,10,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",1226,9,0
2026-09-19T23:49:19+00:00,200y3b,2MDLha7T9TU,2026-08-21T01:56:46Z,8,No worries. 무슨 뜻일까? | 매일 영어 한마디,160,1,0
2026-09-19T23:49:19+00:00,200y3b,io52Z3g3di8,2026-08-21T01:08:29Z,9,"""I'm running late."" 무슨 뜻일까? | 매일 영어 한마디",228,3,0
2026-09-19T23:49:19+00:00,200y3b,lI1btNXG8ck,2026-08-20T12:48:46Z,10,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",743,7,0
2026-09-19T23:49:19+00:00,200y3b,wgwziTM8yo0,2026-08-20T12:26:51Z,9,"""Long time no see."" 무슨 뜻일까? | 매일 영어 한마디",297,3,0
2026-09-19T23:49:19+00:00,200y3b,tjhWda-Q2h0,2026-08-20T06:57:18Z,11,"""It's up to you."" 무슨 뜻일까? | 매일 영어 한마디",179,2,0
2026-09-19T23:49:19+00:00,200y3b,9tJonf4MkyQ,2026-08-20T01:05:09Z,10,"""I couldn't agree more."" 무슨 뜻일까? | 매일 영어 한마디",667,11,0
2026-09-19T23:49:19+00:00,200y3b,wst7kZYOc_k,2026-08-19T21:39:10Z,9,"""Let's call it a day."" 무슨 뜻일까? | 매일 영어 한마디",153,2,0
2026-09-19T23:49:19+00:00,200y3b,u7RuRgpYID8,2026-08-19T21:33:33Z,9,"""Let's call it a day."" 무슨 뜻일까? | 매일 영어 한마디",185,5,0
2026-09-19T23:49:19+00:00,200y3b,2avb9VIeEqU,2026-08-19T12:26:14Z,9,"""No worries."" 무슨 뜻일까? | 매일 영어 한마디",94,2,0
2026-09-19T23:49:19+00:00,200y3b,7wDC1-ijRRU,2026-08-19T11:59:05Z,9,"""Let's call it a day."" 무슨 뜻일까? | 매일 영어 한마디",824,20,0
2026-09-19T23:49:19+00:00,200y3b,-cRhJCAcFLA,2026-08-19T11:37:26Z,357,영어 회화 표현 30개 몰아듣기 | 생활 영어 흘려듣기 5분,11,1,0
2026-09-19T23:49:19+00:00,200y3b,oKaBb5sojxE,2026-08-19T11:25:34Z,10,"""I'm on it."" 무슨 뜻일까? | 매일 영어 한마디",1147,13,0
2026-09-19T23:49:19+00:00,200y3b,7BnblHtG7pA,2026-08-19T11:11:03Z,7,"""How's it going?"" 무슨 뜻일까? | 매일 영어 한마디",733,4,0
